sku,style,category,color,brand,cost,price
NC-001,Wool Overcoat,Outerwear,Camel,Modo Label,72,189
NC-002,Quilted Jacket,Outerwear,Black,North Fields,58,149
NC-003,Cashmere Sweater,Knitwear,Ivory,Modo Label,64,159
NC-004,Ribbed Cardigan,Knitwear,Olive,Aria & Co.,45,109
NC-005,Wrap Midi Dress,Dresses,Terracotta,Lior Studio,52,139
NC-006,Slip Dress,Dresses,Chocolate,Maison Vale,48,119
NC-007,Silk Blouse,Tops,Blush,Aria & Co.,38,95
NC-008,Straight Leg Jean,Denim,Navy,North Fields,49,129
NC-009,Wide Leg Jean,Denim,Stone,Modo Label,51,135
NC-010,Tailored Trouser,Bottoms,Black,Lior Studio,55,145
NC-011,Leather Loafer,Footwear,Chocolate,Maison Vale,68,175
NC-012,Ankle Boot,Footwear,Black,North Fields,74,199
NC-013,Structured Tote,Accessories,Camel,Modo Label,60,155
NC-014,Statement Earrings,Accessories,Ivory,Aria & Co.,18,45
NC-015,Turtleneck Knit,Knitwear,Sage,Lior Studio,42,105
